Date,Open,High,Low,Close,Volume
04/29/2025,94.84,96.18,94.42,96.04,"12,679,030"
04/28/2025,95.1,96.0,94.34,95.22,"12,950,000"
04/25/2025,95.8,96.47,94.36,95.09,"15,317,220"
04/24/2025,94.71,96.22,93.66,95.84,"13,444,530"
04/23/2025,95.02,96.6,94.16,94.96,"18,046,891"
04/22/2025,92.88,95.29,92.88,94.85,"15,407,770"
04/21/2025,93.02,94.08,91.34,92.41,"18,361,211"
04/17/2025,91.83,93.87,91.62,93.22,"21,393,920"
04/16/2025,94.0,94.3,90.61,91.19,"22,229,109"
04/15/2025,94.82,96.03,93.87,93.97,"21,871,211"
04/14/2025,93.27,95.44,92.9,94.73,"27,742,920"
04/11/2025,90.68,93.35,90.01,92.8,"25,508,141"
04/10/2025,88.73,91.87,88.16,90.61,"34,735,320"
04/09/2025,83.33,90.8,83.02,89.6,"46,632,762"
04/08/2025,85.85,86.97,81.03,81.79,"34,351,738"
04/07/2025,80.24,86.26,79.81,83.83,"36,884,941"
04/04/2025,85.64,87.39,82.65,83.19,"36,209,020"
04/03/2025,86.28,89.88,86.28,87.26,"33,012,930"
04/02/2025,88.2,90.15,88.12,89.76,"19,384,141"
04/01/2025,87.54,89.11,87.37,88.83,"22,080,250"
03/31/2025,84.76,88.2,84.37,87.79,"30,269,311"
03/28/2025,85.43,85.83,84.7,85.15,"14,790,570"
03/27/2025,84.78,86.11,84.78,85.63,"16,782,811"
03/26/2025,85.19,85.56,84.57,85.21,"27,241,500"
03/25/2025,86.76,87.31,84.62,84.76,"27,908,570"
03/24/2025,86.47,87.65,86.35,87.49,"17,900,730"
03/21/2025,85.28,86.23,84.78,85.98,"26,797,180"
03/20/2025,85.81,87.08,85.52,85.81,"18,185,510"
03/19/2025,85.95,86.79,85.62,86.33,"24,555,859"
03/18/2025,87.44,87.68,85.5,85.59,"17,850,930"
03/17/2025,85.13,87.99,84.98,87.46,"26,297,770"
03/14/2025,84.96,85.37,84.06,85.35,"35,500,648"
03/13/2025,84.94,85.45,83.87,84.5,"31,507,750"
03/12/2025,87.88,89.1,84.88,85.2,"33,301,609"
03/11/2025,87.29,89.35,87.14,87.44,"28,687,590"
03/10/2025,89.76,90.23,86.61,87.82,"35,148,840"
03/07/2025,93.94,93.95,90.76,91.72,"35,913,160"
03/06/2025,94.8,96.19,94.18,94.64,"19,957,801"
03/05/2025,94.97,96.39,94.75,95.98,"17,638,961"
03/04/2025,95.76,97.05,94.46,94.97,"25,227,670"
03/03/2025,97.98,99.49,96.83,97.59,"18,372,189"
02/28/2025,97.79,98.86,97.17,98.61,"25,451,260"
02/27/2025,95.9,98.04,95.81,96.79,"16,431,471"
02/26/2025,97.7,98.73,96.07,96.2,"19,069,721"
02/25/2025,94.35,97.91,94.24,97.69,"29,331,189"
02/24/2025,94.18,94.64,92.12,93.67,"29,755,881"
02/21/2025,96.53,96.85,94.12,94.78,"35,014,809"
02/20/2025,98.78,100.12,96.68,97.21,"55,450,922"
02/19/2025,103.85,104.2,102.55,104.0,"18,507,980"
02/18/2025,103.72,103.99,102.51,103.78,"18,247,311"
02/14/2025,105.3,105.3,103.6,104.04,"14,109,460"
02/13/2025,104.0,105.24,103.53,105.05,"12,604,410"
02/12/2025,102.12,103.9,102.04,103.61,"15,162,130"
02/11/2025,102.62,102.85,101.85,102.47,"11,953,630"
02/10/2025,101.95,102.93,101.25,102.92,"15,274,640"
02/07/2025,103.0,103.11,101.11,101.15,"12,451,070"
02/06/2025,102.53,103.02,101.94,102.85,"13,088,470"
02/05/2025,100.65,102.58,100.54,102.46,"15,926,720"
02/04/2025,99.97,100.95,99.69,100.77,"15,201,190"
02/03/2025,96.77,99.79,96.47,99.54,"20,484,150"
01/31/2025,99.0,99.0,97.7,98.16,"16,413,891"
01/30/2025,97.69,98.93,97.42,98.65,"11,012,220"
01/29/2025,97.43,98.17,97.22,97.5,"11,261,440"
01/28/2025,97.23,97.84,96.73,97.29,"14,641,620"
01/27/2025,95.9,97.46,94.82,97.4,"18,880,609"
01/24/2025,93.54,95.01,93.46,94.76,"14,973,770"
01/23/2025,92.96,93.81,92.32,93.81,"14,198,440"
01/22/2025,93.77,94.0,92.52,93.23,"15,567,060"
01/21/2025,92.48,94.24,92.31,93.08,"23,247,449"
01/17/2025,92.07,92.26,91.05,91.94,"15,868,210"
01/16/2025,91.5,91.72,90.12,91.3,"13,267,720"
01/15/2025,91.07,91.73,90.81,91.34,"17,348,170"
01/14/2025,91.86,91.98,90.57,90.79,"13,549,160"
01/13/2025,92.12,92.43,91.1,91.53,"18,617,080"
01/10/2025,92.49,93.58,92.2,93.0,"18,140,859"
01/08/2025,91.11,91.85,90.82,91.8,"13,453,630"
01/07/2025,91.7,91.94,90.45,90.81,"11,238,040"
01/06/2025,90.83,92.47,90.67,91.43,"14,519,860"
01/03/2025,90.15,91.3,90.14,90.78,"10,834,630"
01/02/2025,89.98,90.6,89.52,90.0,"14,820,440"
12/31/2024,90.57,90.94,90.06,90.35,"11,267,650"
12/30/2024,90.73,91.07,90.13,90.57,"9,790,196"
12/27/2024,92.13,92.35,91.03,91.66,"11,384,360"
12/26/2024,92.54,92.88,92.17,92.79,"10,997,610"
12/24/2024,90.37,92.68,90.35,92.68,"8,992,427"
12/23/2024,91.5,91.5,88.91,90.35,"26,205,381"
12/20/2024,93.01,93.75,91.63,92.24,"49,350,594"
12/19/2024,94.48,94.57,93.36,93.4,"16,606,500"
12/18/2024,95.34,95.9,93.13,93.55,"24,665,600"
12/17/2024,95.14,95.49,94.32,95.42,"23,560,820"
12/16/2024,94.42,95.71,94.1,94.87,"16,741,990"
12/13/2024,93.8,94.68,93.04,94.25,"11,495,850"
12/12/2024,95.68,95.72,94.09,94.09,"14,298,630"
12/11/2024,94.54,95.69,94.5,94.96,"19,682,090"
12/10/2024,94.05,95.24,93.77,94.55,"13,164,490"
12/09/2024,95.66,95.94,93.6,93.83,"20,931,080"
12/06/2024,95.54,96.18,95.33,95.7,"18,803,500"
12/05/2024,94.89,95.6,94.34,95.3,"21,932,330"
12/04/2024,93.45,94.52,93.05,94.45,"17,312,580"
12/03/2024,92.78,93.59,92.26,93.51,"17,775,230"
12/02/2024,92.82,92.99,91.95,92.64,"17,172,949"
11/29/2024,92.26,92.64,91.82,92.5,"11,041,180"
11/27/2024,92.0,92.25,91.31,91.88,"14,358,860"
11/26/2024,89.89,91.88,89.84,91.31,"16,657,020"
11/25/2024,90.5,90.95,89.06,89.5,"25,078,631"
11/22/2024,89.41,90.91,88.93,90.44,"23,990,650"
11/21/2024,87.45,88.64,86.93,88.39,"18,729,221"
11/20/2024,86.6,87.2,85.91,87.18,"18,183,189"
11/19/2024,86.23,88.29,85.91,86.6,"36,340,859"
11/18/2024,84.82,84.85,83.66,84.08,"25,278,119"
11/15/2024,84.53,84.78,83.94,84.25,"17,370,600"
11/14/2024,85.03,85.76,84.34,84.47,"15,740,730"
