Date,Open,High,Low,Close
03/04/2025,106.56,106.65,105.53,105.74
03/03/2025,107.39,107.41,106.47,106.75
02/28/2025,107.25,107.66,107.18,107.61
02/27/2025,106.53,107.35,106.52,107.24
02/26/2025,106.17,106.65,106.16,106.42
02/25/2025,106.77,106.79,106.19,106.31
02/24/2025,106.55,106.75,106.13,106.6
02/21/2025,106.46,106.75,106.38,106.61
02/20/2025,107.12,107.15,106.33,106.37
02/19/2025,107.03,107.38,106.88,107.17
02/18/2025,106.82,107.12,106.81,107.05
02/17/2025,107.12,107.18,106.57,106.71
02/14/2025,107.12,107.18,106.57,106.71
02/13/2025,107.92,108.0,107.03,107.31
02/12/2025,108.01,108.52,107.63,107.94
02/11/2025,108.34,108.46,107.78,107.96
02/10/2025,108.37,108.44,108.09,108.32
02/07/2025,107.7,108.32,107.52,108.04
02/06/2025,107.62,108.1,107.54,107.69
02/05/2025,108.05,108.01,107.3,107.58
02/04/2025,108.68,109.04,107.92,107.96
02/03/2025,109.3,109.88,108.34,108.99
01/31/2025,108.16,108.57,107.79,108.37
01/30/2025,107.86,108.24,107.5,107.8
01/29/2025,107.89,108.3,107.75,108.0
01/28/2025,107.71,108.05,107.69,107.87
01/27/2025,107.47,107.81,106.97,107.34
01/24/2025,108.09,108.19,107.22,107.44
01/23/2025,108.25,108.51,107.92,108.05
01/22/2025,107.99,108.28,107.75,108.17
01/21/2025,107.98,108.79,107.92,108.06
01/20/2025,108.93,109.42,108.83,109.35
01/17/2025,108.93,109.42,108.83,109.35
01/16/2025,109.07,109.38,108.83,108.96
01/15/2025,109.23,109.38,108.6,109.09
01/14/2025,109.57,109.76,109.18,109.27
01/13/2025,109.63,110.18,109.35,109.96
01/10/2025,109.23,109.97,109.08,109.65
01/09/2025,108.62,109.38,108.55,109.09
01/08/2025,108.62,109.38,108.55,109.09
01/07/2025,108.34,108.7,107.85,108.54
01/06/2025,108.92,109.07,107.75,108.26
01/03/2025,109.2,109.22,108.9,108.95
01/02/2025,108.53,109.53,108.27,109.39
01/01/2025,108.09,108.58,107.87,108.49
12/31/2024,108.09,108.58,107.87,108.49
12/30/2024,108.01,108.38,107.74,108.13
12/27/2024,108.08,108.2,107.87,108.0
12/26/2024,108.17,108.3,108.03,108.13
12/25/2024,108.16,108.3,107.92,108.26
12/24/2024,108.16,108.3,107.92,108.12
12/23/2024,107.82,108.28,107.68,108.04
12/20/2024,108.48,108.54,107.59,107.62
12/19/2024,108.1,108.49,107.82,108.41
12/18/2024,106.93,108.27,106.82,108.03
12/17/2024,106.82,107.08,106.7,106.96
