Date,Open,High,Low,Close,Volume
2024-09-10,548.36,549.15,543.38,548.79,"36,394,578"
2024-09-11,548.7,555.36,539.96,554.42,"75,248,609"
2024-09-12,555.01,559.4,552.74,559.09,"51,892,738"
2024-09-13,559.71,563.03,559.45,562.01,"39,310,500"
2024-09-16,561.74,563.11,559.9,562.84,"36,656,121"
2024-09-17,565.1,566.58,560.8,563.07,"49,320,969"
2024-09-18,563.74,568.69,560.83,561.4,"59,044,941"
2024-09-19,571.01,572.88,568.08,570.98,"75,315,469"
2024-09-20,567.84,569.31,565.17,568.25,"77,503,109"
2024-09-23,569.34,570.33,568.1,569.67,"44,116,922"
2024-09-24,570.48,571.36,567.6,571.3,"46,805,672"
2024-09-25,571.14,571.89,568.91,570.04,"38,428,594"
2024-09-26,574.38,574.71,569.9,572.3,"48,336,000"
2024-09-27,573.39,574.22,570.42,571.47,"42,100,930"
2024-09-30,570.42,574.38,568.08,573.76,"63,655,449"
2024-10-01,573.4,574.06,566.0,568.62,"72,668,781"
2024-10-02,567.71,569.9,565.27,568.86,"38,097,801"
2024-10-03,567.36,569.8,565.49,567.82,"40,846,473"
2024-10-04,572.35,573.36,568.1,572.98,"43,005,191"
2024-10-07,571.3,571.96,566.63,567.8,"49,964,688"
2024-10-08,570.42,573.78,569.53,573.17,"37,398,688"
2024-10-09,573.16,577.71,572.55,577.14,"37,912,238"
2024-10-10,575.77,577.58,574.49,576.13,"44,138,059"
2024-10-11,576.05,580.33,575.91,579.58,"42,267,992"
2024-10-14,581.22,585.27,580.73,584.32,"36,217,219"
2024-10-15,584.59,584.9,578.55,579.78,"54,203,641"
2024-10-16,579.78,582.83,578.96,582.3,"30,725,439"
2024-10-17,585.91,586.12,582.16,582.35,"34,393,711"
2024-10-18,584.07,585.39,582.58,584.59,"37,416,801"
2024-10-21,583.85,584.85,580.6,583.63,"36,439,008"
2024-10-22,581.05,584.5,580.38,583.32,"34,183,840"
2024-10-23,581.26,581.71,574.42,577.99,"49,314,566"
2024-10-24,579.98,580.06,576.57,579.24,"34,979,859"
