Date,Open,High,Low,Close,Volume
02/26/2025,515.53,519.66,511.37,514.56,"34,457,621"
02/25/2025,519.24,519.32,509.44,513.32,"48,940,031"
02/24/2025,527.88,529.07,519.53,519.87,"39,268,391"
02/21/2025,538.38,538.4,525.71,526.08,"47,093,754"
02/20/2025,538.73,539.1,532.46,537.23,"26,550,750"
02/19/2025,538.57,540.81,536.46,539.52,"19,666,859"
02/18/2025,539.73,540.0,536.04,539.37,"20,565,029"
02/14/2025,536.01,538.84,535.67,538.15,"17,862,570"
02/13/2025,529.98,536.22,529.19,535.9,"28,714,801"
02/12/2025,522.3,529.19,521.95,528.3,"25,009,359"
02/11/2025,525.96,529.92,525.83,527.99,"19,325,500"
02/10/2025,527.22,530.36,526.75,529.25,"20,852,779"
02/07/2025,530.14,532.1,522.19,522.92,"29,605,471"
02/06/2025,527.36,529.81,525.74,529.6,"19,434,449"
02/05/2025,521.82,527.01,520.62,526.85,"21,134,070"
02/04/2025,518.63,525.11,518.23,524.47,"26,046,750"
02/03/2025,513.47,520.85,511.05,518.11,"40,580,840"
01/31/2025,526.92,531.52,521.19,522.29,"38,845,473"
01/30/2025,523.71,526.1,518.21,523.05,"27,431,301"
01/29/2025,522.46,522.59,516.9,520.83,"26,649,010"
01/28/2025,515.22,523.0,511.78,521.81,"33,194,211"
01/27/2025,511.0,517.99,510.15,514.21,"60,771,699"
01/24/2025,533.02,533.79,528.15,529.63,"19,878,250"
01/23/2025,529.04,532.76,528.45,532.64,"23,096,590"
01/22/2025,529.57,533.82,529.26,531.51,"33,592,992"
01/21/2025,524.48,525.97,520.06,524.8,"23,627,971"
01/17/2025,522.85,524.07,513.11,521.74,"51,837,941"
01/16/2025,518.98,519.06,512.95,513.08,"28,229,039"
01/15/2025,513.03,517.85,511.46,516.7,"34,957,551"
01/14/2025,508.74,510.16,501.59,505.08,"33,737,238"
01/13/2025,501.2,506.02,499.7,505.56,"31,694,211"
01/10/2025,511.48,511.58,503.92,507.19,"40,532,500"
01/08/2025,515.08,516.92,510.57,515.27,"30,777,779"
01/07/2025,525.59,525.99,513.28,515.18,"36,690,273"
01/06/2025,524.02,527.92,522.03,524.54,"36,109,727"
01/03/2025,513.35,519.65,512.53,518.58,"29,059,520"
01/02/2025,514.3,516.64,505.71,510.23,"36,389,781"
12/31/2024,516.9,517.66,510.26,511.23,"29,117,029"
12/30/2024,515.51,519.36,511.83,515.61,"34,584,031"
12/27/2024,526.01,526.45,517.86,522.56,"33,839,559"
12/26/2024,528.32,531.24,526.31,529.6,"19,141,490"
12/24/2024,524.83,530.05,524.19,529.96,"17,558,221"
12/23/2024,519.55,523.25,516.13,522.87,"29,672,801"
12/20/2024,510.44,524.82,509.29,518.66,"60,529,961"
12/19/2024,521.19,521.76,513.83,514.17,"46,441,754"
12/18/2024,535.15,536.88,515.01,516.47,"54,703,160"
12/17/2024,536.36,537.48,534.13,535.8,"28,579,070"
12/16/2024,533.08,539.15,533.0,538.17,"31,979,859"
12/13/2024,530.46,533.17,527.3,530.53,"28,780,410"
12/12/2024,527.68,528.96,526.02,526.5,"23,577,500"
12/11/2024,525.0,530.61,524.59,529.92,"32,168,580"
12/10/2024,523.62,525.38,519.16,520.6,"24,350,039"
12/09/2024,525.55,526.35,521.22,522.38,"20,674,410"
12/06/2024,522.48,526.72,522.35,526.48,"23,762,609"
12/05/2024,523.31,524.04,521.42,521.81,"18,169,631"
12/04/2024,520.32,523.52,519.6,523.26,"26,086,221"
12/03/2024,513.95,517.15,513.37,516.87,"18,597,900"
12/02/2024,511.01,516.26,510.62,515.29,"25,147,170"
11/29/2024,505.93,510.34,505.31,509.74,"15,333,970"
11/27/2024,508.17,508.24,501.93,505.3,"24,957,439"
11/26/2024,508.08,510.14,507.23,509.31,"26,557,061"
11/25/2024,509.9,511.45,504.26,506.59,"26,375,170"
11/22/2024,504.42,506.53,502.78,505.79,"23,826,641"
11/21/2024,506.24,506.96,497.56,504.98,"34,526,738"
11/20/2024,503.16,503.48,496.56,503.17,"29,565,490"
11/19/2024,497.42,503.95,497.08,503.46,"24,523,020"
11/18/2024,498.13,502.14,496.73,500.02,"27,192,660"
11/15/2024,502.94,503.33,494.49,496.57,"51,461,047"
11/14/2024,511.91,512.79,507.77,508.69,"28,679,520"
11/13/2024,512.4,514.98,509.95,512.25,"24,567,420"
11/12/2024,513.77,514.66,509.83,512.91,"25,835,289"
11/11/2024,515.37,515.58,510.92,513.84,"24,167,480"
11/08/2024,513.04,514.92,512.41,514.14,"22,924,480"
11/07/2024,508.4,514.33,508.34,513.54,"32,853,121"
11/06/2024,500.56,506.41,499.6,505.58,"43,082,199"
11/05/2024,487.61,492.88,487.52,492.21,"24,353,619"
11/04/2024,486.82,489.38,484.25,486.01,"23,291,580"
11/01/2024,485.5,490.75,485.2,487.43,"33,655,762"
10/31/2024,492.38,492.43,483.75,483.85,"41,245,246"
10/30/2024,499.39,500.35,495.89,496.38,"29,755,961"
10/29/2024,495.72,501.35,493.85,500.16,"28,014,061"
10/28/2024,498.46,498.52,495.1,495.4,"20,477,779"
10/25/2024,495.14,500.28,494.43,495.32,"38,762,141"
10/24/2024,492.11,493.0,489.44,492.32,"22,024,930"
10/23/2024,493.59,494.25,485.05,488.36,"39,346,566"
10/22/2024,492.73,497.45,491.97,495.96,"26,685,840"
10/21/2024,493.25,496.23,491.31,495.42,"30,336,551"
10/18/2024,494.06,495.57,493.3,494.47,"25,335,029"
10/17/2024,496.44,496.49,491.19,491.25,"27,210,660"
10/16/2024,491.18,491.69,487.57,490.91,"22,996,779"
10/15/2024,497.83,498.5,488.68,490.85,"34,784,512"
10/14/2024,495.77,498.83,495.26,497.5,"26,060,150"
10/11/2024,490.74,494.39,490.17,493.36,"20,644,500"
10/10/2024,490.85,494.47,489.53,492.59,"25,750,449"
10/09/2024,489.0,493.73,487.95,493.15,"24,994,949"
10/08/2024,484.66,489.99,483.85,489.3,"28,272,020"
10/07/2024,485.39,486.57,480.87,482.1,"24,975,119"
10/04/2024,487.45,487.88,482.39,487.32,"30,744,910"
10/03/2024,479.74,484.55,478.99,481.59,"25,337,221"
10/02/2024,480.36,483.88,477.72,481.95,"23,744,051"
10/01/2024,487.7,488.0,477.4,481.27,"42,735,422"
09/30/2024,485.78,488.41,482.92,488.07,"30,330,609"
09/27/2024,490.5,490.64,485.56,486.75,"22,851,119"
09/26/2024,493.37,493.7,485.8,489.47,"32,020,211"
09/25/2024,484.74,487.79,484.56,485.82,"26,549,869"
09/24/2024,484.46,486.33,480.17,485.37,"25,952,641"
09/23/2024,482.95,484.14,481.6,483.04,"24,842,971"
09/20/2024,482.49,483.69,478.3,482.44,"34,577,660"
09/19/2024,482.61,486.23,480.49,483.36,"52,782,520"
09/18/2024,474.7,478.83,470.83,471.44,"39,909,219"
09/17/2024,476.29,477.6,470.97,473.49,"30,084,439"
